,primary_keys,property_types,prices,zipcodes,street_names,localities,bedrooms,bathrooms,living_areas (m2),equipped_kitchens,furnisheds,garden_surfaces (m2),surface_plots (m2),building_conditions,energy_classes
0,9898130,house,745000,9000,Distelstraat 63/67,Gent,2,1,,,,,101,Good,C
1,9981176,apartment,439000,9000,Vlasgaardstraat 58,Gent,3,1,115,Hyper equipped,No,,,As new,A
2,9981177,penthouse,495000,9000,Vlasgaardstraat 58,Gent,3,1,115,Hyper equipped,No,,,As new,A
3,9981178,penthouse,549000,9000,Vlasgaardstraat 58,Gent,2,2,116,Hyper equipped,No,,,As new,A
4,9984336,new-real-estate-project-apartments,219000,2980,Kapellei 3,SINT-ANTONIUS,,,,,,,,,Not specified
5,9974130,apartment,330000,1050,Rue de l'aqueduc 65,Ixelles,1,1,70,USA hyper equipped,No,,,Good,E
6,9966805,apartment,350000,1200,Square Joseph Hanse - Joseph Hansesquare 1,Woluwe-Saint-Lambert,1,1,103,USA installed,,,,As new,G
7,9993912,apartment,350000,9120,"Grote Baan 197
    
        Box 21",Beveren Melsele,2,1,108,Installed,No,,,Good,C
8,9986028,apartment,489000,1050,Avenue Molière 101,Ixelles,1,1,90,USA hyper equipped,No,,,Just renovated,E
9,9986021,apartment,699000,1050,"Avenue Molière 101
    
        Box 1",Ixelles,2,2,115,USA hyper equipped,No,,,Just renovated,D
10,9977120,apartment,159000,4020,"Quai de Longdoz 17
    
        Box 61",Liege,3,1,90,Not installed,No,,,To be done up,C
11,9981217,apartment,185000,1020,"Avenue des Croix du Feu 181
    
        Box 12",Laeken,2,1,81,Hyper equipped,No,,,As new,G
12,9881253,new-real-estate-project-apartments,195500,1000,Bvd de la Cambre 25,Brussels City,,,,,,,,,Not specified
13,9980472,apartment,197000,4430,"Rue des Quatorze Verges 95
    
        Box  2-1",Ans,3,1,106,Installed,No,,,As new,F
14,9914498,new-real-estate-project-apartments,199500,2980,,<built-in method strip of str object at 0x7fa7ad84d4e0>,,,,,,,,,Not specified
15,9993419,apartment,225000,1200,Avenue de Broqueville 105,Woluwe-Saint-Lambert,1,1,60,Not installed,No,,,To be done up,C
16,9993422,apartment,250000,1200,Avenue Louis Gribaumont 123,Woluwe-Saint-Lambert,1,1,80,Not installed,No,,,To be done up,G
17,9981184,new-real-estate-project-apartments,260000,9000,Bommelstraat 37,Gent,,,,,,,,,Not specified
18,9983637,apartment,270000,1831,Watermolenstraat 42,Machelen Diegem,2,1,91,Hyper equipped,No,,,As new,A
19,9992153,apartment,280000,1180,Place Emile Danco 9,Uccle,2,1,80,Installed,No,,,Good,F
20,9993344,loft,295000,4800,du Prince 10,Verviers,3,1,130,Installed,No,,,As new,A
21,9966662,apartment,310000,1200,"Rue des Floralies 83
    
        Box 170",Woluwe-Saint-Lambert,3,1,90,USA hyper equipped,No,,,Just renovated,E
22,9971111,apartment,365000,9800,Tolpoortstraat 40,Deinze,2,1,91,Hyper equipped,No,,,As new,A
23,9971107,apartment,375000,9800,Tolpoortstraat 40,Deinze,2,1,91,Hyper equipped,No,,,As new,A
24,9980029,new-real-estate-project-apartments,515000,1000,Drève du Parc,BRUXELLES,,,,,,,,,B
25,9993350,apartment,1100000,1180,Avenue Van Bever 5,Uccle,4,3,280,Hyper equipped,No,,,As new,C
26,9989827,house,325000,9890,Egmont Park 4,Gavere,3,2,144,Hyper equipped,No,39,195,As new,A
27,9989824,house,325000,9890,Egmont Park 6,Gavere,3,2,144,Hyper equipped,No,37,193,As new,A
28,9989832,house,339000,9890,Egmont Park 8,Gavere,3,2,144,Hyper equipped,No,35,191,As new,A
29,9989828,house,345000,9890,Egmont Park 2,Gavere,3,2,152,Hyper equipped,No,44,208,As new,A
30,9972042,new-real-estate-project-apartments,205000,8370,J. de Troozlaan 78,Blankenberge,,,,,,,,,Not specified
31,9990658,new-real-estate-project-apartments,259000,2580,Jan de Cordesstraat 92,Putte,,,,,,,,,Not specified
32,9991984,new-real-estate-project-apartments,292000,9820,Ettingen 13,Merelbeke,,,,,,,,,Not specified
33,9988517,new-real-estate-project-apartments,310000,9060,Marktstraat 3A,Zelzate,,,,,,,,,A
34,9991596,house,325000,6940,Chainrue 13,Barvaux (-sur-ourthe),7,2,292,Installed,No,359,516,Good,D
35,9977277,new-real-estate-project-apartments,332102,8900,Onze-Lieve-Vrouwestraat 14,Ieper,,,,,,,,,Not specified
36,9991005,house,349000,1070,Rue de l'Instruction 139,Anderlecht,3,2,190,USA hyper equipped,No,,50,Good,F
37,9991203,house,449000,1070,Rue des Colombophiles 87,Anderlecht,4,2,156,USA semi equipped,No,,204,Good,G
38,9976940,new-real-estate-project-apartments,890000,1200,Avenue du Yorkshire 22-24-26,Woluwe-Saint-Lambert,,,,,,,,,B
39,9990966,house,1150000,1050,Rue Forestiere 31,Ixelles,4,3,235,Installed,No,150,271,To renovate,G
40,9988865,house,105000,9600,Opgeeistenstraat 5,Ronse,2,1,115,Semi equipped,No,,55,To renovate,E
41,9989750,apartment,115000,7500,"Rue de la Madeleine 30
    
        Box  41",Tournai,2,1,91,Semi equipped,No,,,To renovate,D
42,9988864,house,169500,9600,Kapellestraat 192,Ronse,2,2,145,Semi equipped,No,230,130,To be done up,D
43,9968821,apartment,224000,1830,Camille Françoisstraat 99/2,Machelen,2,1,93,Installed,,,,As new,C
44,9969874,new-real-estate-project-apartments,248820,8210,Torhoutsesteenweg 233-235,Zedelgem,,,,,,,,,Not specified
45,9987594,apartment,260000,8370,Leopoldhelling 4,Blankenberge,2,1,77,Installed,Yes,,,Good,B
46,9970046,new-real-estate-project-apartments,288025,8370,Van Maerlantstraat 41,Blankenberge,,,,,,,,,Not specified
47,9989604,house,349500,4500,Rue Axhelière 33,Huy,3,1,200,Semi equipped,No,1000,1104,As new,E
48,9968741,new-real-estate-project-apartments,359000,9000,Tondelierlaan 21,Gent,,,,,,,,,A
49,9988619,apartment,375000,1150,avenue d'oppem 19,Woluwe-Saint-Pierre,2,1,110,Installed,No,,,To be done up,F
50,9988670,penthouse,380000,1200,Avenue Paul Hymans 105,Woluwe-Saint-Lambert,3,1,110,Installed,No,,,Good,G
51,9968742,new-real-estate-project-apartments,389000,9000,Tondelierlaan 20,Gent,,,,,,,,,Not specified
52,9988861,villa,400000,4347,Rue de Noville 63,Fexhe-le-Haut-Clocher,4,2,200,Installed,No,600,1020,As new,E
53,9988626,apartment,445000,1150,"Chaussée de Stockel 326
    
        Box 3",Woluwe-Saint-Pierre,3,1,112,Installed,No,,,As new,C
54,9977133,apartment,445000,1180,Avenue Bel-Air 69,Uccle,2,1,115,Hyper equipped,No,,,As new,D
55,9988675,apartment,495000,1180,Avenue de la Ferme Rose 2,Uccle,3,2,173,Hyper equipped,No,,,To renovate,C
56,9990616,villa,635000,9255,Ten Hove 34,Buggenhout,3,1,189,Hyper equipped,No,473,639,As new,B
57,9988669,house,800000,1150,Clos du Manoir 12,Woluwe-Saint-Pierre,4,1,200,Installed,No,,360,To renovate,G
58,9960401,house,995000,1200,Avenue Emile Vandervelde 77,Woluwe-Saint-Lambert,4,1,304,Installed,No,,680,To renovate,F
59,9967723,new-real-estate-project-apartments,199000,9620,"Directeursplein 1,C",Zottegem,,,,,,,,,Not specified
60,9986984,new-real-estate-project-apartments,270000,8800,Westlaan 302,Roeselare,,,,,,,,,Not specified
61,9986971,new-real-estate-project-apartments,299000,2018,Lange Elzenstraat 18,Antwerp,,,,,,,,,Not specified
62,9985170,apartment,299000,9000,Lily Boeykensstraat 4/101,Gent,2,,75,Installed,,,,As new,B
63,9970487,apartment,309000,8370,Zeedijk 55,Blankenberge,2,1,70,Installed,Yes,,,Good,B
64,9982463,new-real-estate-project-houses,349000,2560,Heibloemstraat 88,Nijlen,,,,,,,,,Not specified
65,9966171,new-real-estate-project-apartments,359000,9000,Tondelierlaan 21,Gent,,,,,,,,,A
66,9987188,house,447000,4780,"+ 11 Bleialfer Straße, Schönberg 10",Saint-Vith,3,2,260,Not installed,No,,978,Good,B
67,9968861,house,349000,9280,Baardegemsestraat 7,Lebbeke,3,1,185,,No,392,542,To be done up,E
68,9995116,apartment,269000,1800,Jean Baptiste Nowélei 41,Vilvoorde,2,1,82,Hyper equipped,No,,,Good,B
